              1		         1		         1		         1		         1		         1		         1		         1		         1		         1		         1		         1		         1		         1		         1		         1
     1751477356	    1986360180      1734964340      1818718066      1751477356	    1986360180      1734964340      1818718066      1751477356	    1986360180      1734964340      1818718066      1751477356	    1986360180      1734964340      1818718066
     1864398703	    1768060268      1769156128      1769236589      1864398703	    1768060268      1769156128      1769236589      1864398703	    1768060268      1769156128      1769236589      1864398703	    1768060268      1769156128      1769236589
     1919706144	    1970085989      1097623921       543780451      1919706144	    1970085989      1097623921       543780451      1919706144	    1970085989      1097623921       543780451      1919706144	    1970085989      1097623921       543780451
     1131575664	    1818850350      1969319200      1819632741      1131575664	    1818850350      1969319200      1819632741      1131575664	    1818850350      1969319200      1819632741      1131575664	    1818850350      1969319200      1819632741
     1953458034	     541156718      1819239023      1931501856      1953458034	     541156718      1819239023      1931501856      1953458034	     541156718      1819239023      1931501856      1953458034	     541156718      1819239023      1931501856
     1634756729	    1700884000      1920231795      1936028704      1634756729	    1700884000      1920231795      1936028704      1634756729	    1700884000      1920231795      1936028704      1634756729	    1700884000      1920231795      1936028704
      544367984	    1952803948       773866607      1868963951       544367984	    1952803948       773866607      1868963951       544367984	    1952803948       773866607      1868963951       544367984	    1952803948       773866607      1868963951
     1919251301	    1970479213      1852138272      1885696609      1919251301	    1970479213      1852138272      1885696609      1919251301	    1970479213      1852138272      1885696609      1919251301	    1970479213      1852138272      1885696609
     1853125408	    1702131059      1869767529      1953066862      1853125408	    1702131059      1869767529      1953066862      1853125408	    1702131059      1869767529      1953066862      1853125408	    1702131059      1869767529      1953066862
     1634607209	     740319849       543974755      1933189195      1634607209	     740319849       543974755      1933189195      1634607209	     740319849       543974755      1933189195      1634607209	     740319849       543974755      1933189195
     1836085106	    1650814564      1953854252      1702436933      1836085106	    1650814564      1953854252      1702436933      1836085106	    1650814564      1953854252      1702436933      1836085106	    1650814564      1953854252      1702436933
     1952542324	    1970086003       543255657      2020630894      1952542324	    1970086003       543255657      2020630894      1952542324	    1970086003       543255657      2020630894      1952542324	    1970086003       543255657      2020630894
      544235890	    1701085184      1903518061      1936289646       544235890	    1701085184      1903518061      1936289646       544235890	    1701085184      1903518061      1936289646       544235890	    1701085184      1903518061      1936289646
     1948282726	             0       544568364       740311396      1948282726	             0       544568364       740311396      1948282726	             0       544568364       740311396      1948282726	             0       544568364       740311396
      544499813	             0       543580533      1683124085       544499813	             0       543580533      1683124085       544499813	             0       543580533      1683124085       544499813	             0       543580533      1683124085
      543780454	           400      1667850869      1852066661       543780454	           400      1667850869      1852066661       543780454	           400      1667850869      1852066661       543780454	           400      1667850869      1852066661
              0	             1               0               0               0	             1               0               0               0	             1               0               0               0	             1               0               0
              0		         1               0               0               0		         1               0               0               0		         1               0               0               0		         1               0               0
     1869770081	    1734964340      1931505263      2032934995      1869770081	    1919249710      1931505263      2032934995      1869770081	    1919249710      1931505263      2032934995      1869770081	    1919249710      1931505263      2032934995
     1953066862	    1769156128      1848385637      1969386356      1953066862	     542336356      1848385637      1969386356      1953066862	     542336356      1848385637      1969386356      1953066862	     542336356      1848385637      1969386356
      538994040	    1097623921      1969845101      1769239924       538994040	     544039271      1969845101      1769239924       538994040	     544039271      1969845101      1769239924       538994040	     544039271      1969845101      1769239924
     1667785070	    1969319200      1868832873      1768910368      1667785070	    1851859056      1868832873      1768910368      1667785070	    1851859056      1868832873      1768910368      1667785070	    1851859056      1868832873      1768910368
     1734680686	    1819239023      1680613486       676558178      1734680686	    1970435443      1680613486       676558178      1734680686	    1970435443      1680613486       676558178      1734680686	    1970435443      1680613486       676558178
     1870094692	    1920231795      1970039905      1115255909      1870094692	     740320869      1970039905      1115255909      1870094692	     740320869      1970039905      1115255909      1870094692	     740320869      1970039905      1115255909
     1635349280	     773866607       773866357       690757714      1635349280	    1919772014       773866357       690757714      1635349280	    1919772014       773866357       690757714      1635349280	    1919772014       773866357       690757714
     1886547830	    1852138272      1918984809      1869898100      1886547830	    1953852704      1918984809      1869898100      1886547830	    1953852704      1918984809      1869898100      1886547830	    1953852704      1918984809      1869898100
     1768188270	    1869767529      1953853984      1768910368      1768188270	    1702177824      1953853984      1768910368      1768188270	    1702177824      1953853984      1768910368      1768188270	    1702177824      1953853984      1768910368
     1730179941	     543974755      1651269998       676554857      1730179941	    1953066595      1651269998       676554857      1730179941	    1953066595      1651269998       676554857      1730179941	    1953066595      1651269998       676554857
     1668641381	    1953854252      1684632608      1718899311      1668641381	    1768191342      1684632608      1718899311      1668641381	    1768191342      1684632608      1718899311      1668641381	    1768191342      1684632608      1718899311
      543387501	     543255657      1836018796      2004035872       543387501	    1948280181      1836018796      2004035872       543387501	    1948280181      1836018796      2004035872       543387501	    1948280181      1836018796      2004035872
     1836412521	    1903518061      1769152620      1634624544      1836412521	     740324961      1769152620      1634624544      1836412521	     740324961      1769152620      1634624544      1836412521	     740324961      1769152620      1634624544
     1667331177	     544568364      1633908083      1298757699      1667331177	    1919513971      1633908083      1298757699      1667331177	    1919513971      1633908083      1298757699      1667331177	    1919513971      1633908083      1298757699
     1869509408	     543580533       773869153      1869378925      1869509408	     544568364       773869153      1869378925      1869509408	     544568364       773869153      1869378925      1869509408	     544568364       773869153      1869378925
     1634624544	    1667850869      1830838628      1848516681      1634624544	     543581548      1830838628      1848516681      1634624544	     543581548      1830838628      1848516681      1634624544	     543581548      1830838628      1848516681
              0	             0               0               0               0	             0               0               0               0	             0               0               0               0	             0               0               0
              0	             0               0               0               0	             0               0               0               0	             0               0               0               0	             0               0               0
     1684108385	    1931505263      1768974707      1847620712      1684108385	    1769156128      1768974707      1847620712      1684108385	    1769156128      1768974707      1847620712      1684108385	    1769156128      1768974707      1847620712
